Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
1.0400000000000000e+02,2.2150096612778605e+04,7.5575496770556012e+04,9.5142563012205937e+04,1.0687137588831937e+05,4.3891000000000002e-01,1.0627000000000000e+00,1.7380999999999999e-01,1.7387000000000000e-01,8.0454545454545456e-01
1.0500000000000000e+02,2.3288271940404207e+04,6.2313904272791013e+04,7.3697022116515771e+04,9.3994511714863213e+04,4.7977999999999998e-01,1.0325000000000000e+00,1.5533000000000000e-01,1.5545999999999999e-01,9.0606060606060612e-01
1.0600000000000000e+02,2.5564980624781652e+04,6.4948538228201389e+04,7.3178815002560383e+04,8.1592973668046601e+04,4.9303999999999998e-01,1.0269999999999999e+00,1.4688999999999999e-01,1.4707000000000001e-01,6.3333333333333330e-01
1.0700000000000000e+02,1.9813641801840022e+04,6.1130942107907744e+04,8.5402979865060232e+04,9.0977138703383476e+04,4.6217999999999998e-01,1.0424000000000000e+00,1.6364000000000001e-01,1.6366000000000000e-01,9.0909090909090906e-01
1.0800000000000000e+02,2.2608304164326601e+04,7.7059958842592154e+04,8.8131823792638650e+04,1.0597041448374197e+05,4.4162000000000001e-01,1.0604000000000000e+00,1.7243000000000000e-01,1.7263000000000001e-01,7.6969696969696955e-01
1.0900000000000000e+02,2.4266923702264001e+04,7.9266197587754432e+04,7.8424746241805609e+04,9.6340402939095075e+04,4.5965000000000000e-01,1.0485000000000000e+00,1.6281999999999999e-01,1.6370999999999999e-01,6.4393939393939392e-01
1.1000000000000000e+02,2.1059394059405186e+04,7.1604458833100973e+04,9.4329917484310805e+04,7.4447739664920387e+04,4.3803999999999998e-01,1.0716000000000001e+00,1.7665000000000000e-01,1.7669000000000001e-01,9.1060606060606064e-01
1.1100000000000000e+02,2.0744069440692449e+04,5.9604272826089065e+04,9.3374145445480084e+04,1.0239811763497937e+05,4.8037999999999997e-01,1.0275000000000001e+00,1.5619000000000000e-01,1.5620000000000001e-01,8.9999999999999991e-01
1.1200000000000000e+02,2.1569054183969587e+04,7.4517926693200396e+04,9.3636622301144991e+04,7.2241751315465197e+04,4.3568000000000001e-01,1.0691999999999999e+00,1.7645000000000000e-01,1.7652000000000001e-01,9.1060606060606064e-01
1.1300000000000000e+02,2.3939968485752517e+04,6.3965468013162390e+04,1.0205969354459988e+05,7.2041438056647865e+04,4.8053000000000001e-01,1.0365000000000000e+00,1.5432999999999999e-01,1.5432999999999999e-01,7.6212121212121209e-01
1.1400000000000000e+02,2.2654532265029426e+04,6.4972554267052052e+04,8.6132072811013742e+04,9.9725750229909929e+04,4.6756999999999999e-01,1.0448000000000000e+00,1.6100999999999999e-01,1.6105000000000000e-01,9.0909090909090906e-01
